tweets,label
I MISS MY TWITTER !!!! SOOO MUCH !!! By the way... hello everyone ,0
"Great shot, good outfit, esp. the tights are really cool!  http://lookbook.nu/look/160540",0
@ submercer enjoying my favorite kind of drink...a free one ,0
@garyhills Bon voyage - and cheers ,0
"In our Asian community, it's quarantine become highly imperative that we raise awareness about depression. I'm sick of people brushing this topic as if it's nothing.",1
recovered from camping rave at last! Bank holiday ,0
"@nailbiter2  you'd have to change your baby anyway, right?  it's probably easier than you think!  #clothdiapers",0
@chronic_hopeful Spent the last two days at 2% and couldn't sleep. I think I would have lost my mind without the internet. The boredom/frustration/depression of stsring at the ceiling thinking of all the things I should be doing...,1
Time to get a few things done while kiddies arestill asleep. Take care one and all. Hugs filled with love.. x  o  ,0
@epcotx @TwitBotNews  @Gmoney52 TY 4 the #folfriday recommendations! You're what Twitter is all about! Cheers!  (Thank-You Again!!) Gmoney,0
IM BORED AND TRYING TO STAVE OFF DEPRESSION BY MAKING U DO THIS BUT ALSO U ONLY HAVE TO DO LIKE ONE,1
@codywatkins you might be the only guy I know that has seen the entire series of the OC and is workin on a second time. FIND A NEW SHOW ,0
sleeping in my own bed for unemployed. ahhhhhmazing feeling. ,0
Watching Goofy the Movei ,0
"Congrats Kayl/Teiteng 05 up to a better level  sorry for my man he only payed 5 m, a foot on the face and we spend all night at hospital",0
@DeltaNC Heheh deleted it in order to avoid starting another debate  - talk later OK  ... see http://annesudevos.blogspot.com/ 4 clues !,0
"Reminiscing those past months. I can't imagine kung pano ko nalabanan yung anxiety/depression ko, I can't imagine that i survived. God is always on your side no matter what <Emoji: Up pointing index (light skin tone)><Emoji: Person with folded hands (light skin tone)>",1
After witnessing so much injustice and suffering eventually that leads to depression,1
I am quarantine Vice President of Social and Cultural Affairs at Southwestern College ,0
@meofthesea It's how depression works for a lot of ppl :(,1
i am going to sleep. just created an account here ,0
trying to get higher paw points in pet society ,0
@Ryker_x2018 I have a mental health illness called Depression it basically means I'm sad a lot and it's hard to get better,1
@damjanov aww hehe.. drop us a line when you are up here again ,0
@dougiemcfly please please PLEASE say hey to @elliemcfly she loves you! pleaseee!  x,0
talkin to my man ,0
@kitkat1982 I'm ready to work on your design whenever you are ,0
More than 1 in 20 US children and teens have anxiety or depression  https://www.sciencedaily.com/releases/2018/04/180424184119.htmÂ â¦,1
"Forms, even ",0
"@donut87_ i wanna get in on the group hug in the end ,  i'm p sure it would entirely cure my depression",1
"home alone, shaweeeeeeeet ",0
@JustcallmeMac Morning Kerstin  It's raining and arthritis is a bitch...*L*,0
"@Anishaflower THANK YOU! My feet and legs are aching, but that comment eases the pain. ",0
such a goood moood !! ,0
Finally turning in for the night. Busy day tomorrow. Domo comes home! ,0
Does ANYONE have any audio from last nights show? BIG REWARD IF YOU DO!!! ,0
"twas my last day of uni today, for a while anyway. am now relaxing with heatbean, tea and tommy playing piano for me ",0
I watched the Jurassic Park Trilogy and now I am nostalgic and optimistic too. Come at me @ depression.,1
@ChArDaLiCiOuZ sige ingat goodnight ,0
@katieseymour i'll be in Seattle tonight! It would be cool to bump into you! havent seen you in a while! ,0
@BryanGwin i can see that. haha  and wait. I checked your band's myspace page and i got to stay. your music is definitely awesome. (:,0
god why do i have reverse seasonal depression i get worse when it starts getting stayhomeer  https://twitter.com/j_conl/status/988909063227543554Â â¦,1
"I gotta say, so far I'm really diggin' Hulu Desktop. It makes me want to hook up my computer to my TV unemployed ",0
"Two things I love, like possible actually love, right now 1) My hair. 2)Re-watching My So-Called Life. ",0
British Expats Twitt Tommy and the Giant Sprout: Especially for Fly  as part of sprout sea.. http://tinyurl.com/c7kvb6,0
@gabyruiz1 no ur not a bad friend but yeah we should hang out on friday  wait who's going to samo?,0
Onibus com personagem do Tim Burton ,0
my festival depression is so real rn,1
@KimKardashian @SamTheGreat_ You also need to reread Kim's post. She didn't say her husband was mentally ill. She said mental illness is no joke. As people who assume he's mentally ill for using his own mind are making jokes about it. I have mental illness. Depression and anxiety. It's no joke.,1
"@macitout and recording music here with Nona Hendryx of Labelle. Hit me back sometime. Hope to talk to you soon. Best, Alex ",0
@AnimeEyedGirl Shes's literally my female equal as far as depression and anxiety.She is adorable af though.,1
English Breakfast in the sun  Keep having to remind myself I'm not  on holiday.  Breakfast then beach ,0
@EmilyMarieox shit? ,0
@fischface : I'm a good young act(ress) in her 20's-30's looking to be in a well budgeted indie horror film. I'd love to be kept in mind  ,0
"bout to make a track wid the cuzin nikko, watch out b.e.t imma be on my way  lol imma beast!!!!!",0
@BreeHoyes Yeah season 4 ain't even available on netty yet. D and I are halfway through season 3 and I swear this show induced a specific type of depression.,1
so when i said today got way better..it just got THAT MUCH better. yay RAIN  too bad PT wasn't in the rain though.,0
Anyways enough depression shit that no one cares about  pic.twitter.com/ST2Idyeig9,1
"How you're brought up and your personality may make you feel like being paranoid is a normal thing, but it may get you in to depression...",1
@girlziplocked I hear soul cycle can get rid of depression! (Just kidding please don't block me! I am totally on your side on this one),1
"Mom's depression tied to kids' emotional, intellectual development â Reuters -  http://mommytimes.org/feeds/items/moms-depression-tied-to-kids-emotional-intellectual-development-reuters/Â â¦",1
@neondeception ur avatar is so cute  im trying to set this blog thing up and see what its all about lol,0
Is going to lunch with the hubby ,0
i used so much hairspray today that its exactly the same it was 5 hrs ago  MORE HAIRSPRAY THN I USED AT SWAY SWAY FILMING ON EVERYONE! lol,0
"Walking home from school and I look like a loner, funny day at school today ",0
@trent_reznor   That's truly excellent ,0
#selegiline dosage for depression  https://goo.gl/uZtvkdÂ  emsam weight gain,1
Depression and anxiety is so real !,1
About that time to smoke some weed and take a depression nap,1
"How do i possibly cope with this? I can't stop thinking about the coronavirus and i kept trying to not read the news or anything but I'm starting to see more people wear masks on the subway.
I'm too poor to save up food and I have unstable housing. I also depend on public transit.
I keep trying to comfort myself with the fact that I'm 23, I have a normal heart rate, no diabetes and my blood oxygen saturation is 97-99% and all this other weird health stuff to remind myself that I'm not gonna die from the virus but I don't see how it's worth going through this. My whole life has been constantly imploding already without the worry of this virus. How do I fucking cope with  this?",1
Lost my motivation because of the virus,1
I can't stop one hour without thinking about this virus and keep on getting panic,1
Feeling Alone and anxious in my own home.,1
girlfriend just lost her job due to COVID19,1
whats the game plan for surving this virus,1
quarantine makes me feel depressed,1
"I was feeling overwhelmed, so I wrote a song on coronavirus",0
could we make our own masks?,0
I have been a little sick and anxiety is making it worse,1
worried this virus is worse than we are being told ,1
is the corona virus something I should panic about?,1
sick right now and nervous,1
yesterday I lost my job because of this,1
anxiety of feeling trapped due to lockdown,1
anxiety taking over,1
lookinf for opinions on self isolation,1
going for drives during outbreak?,0
people who've recovered from the virus. What's your story?,1
I am terrified of this virus,1
feel really anxiuos at night,1
imagine a future after covid,1
anyone with anxiety issuess�... Want to chat?,1
struggling tonight.. Help appreciated,1
should I stay or should I go,1
the affect the quarantine has had on my mental health,1
corona virus thoughts??,1
I have been under lockdown for 2 months!!,1
my little nephew has been tested positive for COVID-19,1
Recommend a therapist please!!,1
My life couldn't be more fucked. It would be still hard without COVID but now it has been worse,1
My neighbour doesn't realise this corona virus is a real thing,1
I am having a hard time with this virus,1
Staying active and productive during this lockdown,0
I feel so alone in this lockdown,1
"Worried about stomach pains, afraid of going to the hospital",1
Corona virus and HyperTension � What a day!!,1
Day 6 of Isolation,1
7 months of lockdown,1
My grandfather has cancer and now tested positive for COVID19,1
"@Alibaba_OTU LOLOLOL your mom has good theories XDDD. I hope you can manage/overcome your depression! We don't have much privilege to let depression consumes us, but work it slowly at your own pace :D",1
"also i cant remember if i ever mentioned it bc like, my memory from the past 7 months is practically nonexistent, jobless, unemployed but ive been in a hella bad mental state and now this past month ive felt like me again! so thats cool. depression can uhh Heck off",1
Accommodation opportunities galore  Very thrilling. Needed after the long quarantine and lockdown,0
"E just asked how to go around the pole. What next, clear heels? ",0
Depression ist not just being sadDepression ist not just being sadDepression ist not just being sad Lockdown Depression ist not just being sadDepression quarantine ist not just being sadDepression ist not quarantine  just being sadDepression ist not just being sadDepression ist not just being sadDepress-,1
High income reduces #depression risk for #Whites but not #Blacks. by @assarish http://www.mdpi.com/2227-9032/6/2/37Â â¦,1
"WATCH: Deepika Padukone talks about depression, equal pay in her moving speech at TIME 100 Gala ..  http://www.bollywoodhungama.com/news/features/watch-deepika-padukone-talks-depression-equal-pay-moving-speech-time-100-gala/Â â¦",1
"Blessings to all, how are you doing today? Lockdown stayhome",0
"Old post catch up: Sinking? I hate you, depression  http://rviv.ly/sfkMZEÂ stayhome",1
"My mom died last week. I don't have any relatives. I'm alone and it is so hard. Today is the first day without anxiety and depression. I wanna live, I will not give up, I will fight like my mother did.",1
